col_name,data_type,comment
CREDIT_TRANSFER_INC_AMNT_M1,"decimal(38,6)",Credit transfer incoming count and amount
CREDIT_TRANSFER_INC_AMNT_WK1,"decimal(38,10)",Credit transfer incoming count and amount
CREDIT_TRANSFER_INC_AMNT_WK2,"decimal(38,10)",Credit transfer incoming count and amount
CREDIT_TRANSFER_INC_AMNT_WK3,"decimal(38,10)",Credit transfer incoming count and amount
CREDIT_TRANSFER_INC_AMNT_WK4,"decimal(38,10)",Credit transfer incoming count and amount
CREDIT_TRANSFER_INC_CNT_M1,bigint,Credit transfer incoming count and amount
CREDIT_TRANSFER_INC_CNT_WK1,"decimal(38,10)",Credit transfer incoming count and amount
CREDIT_TRANSFER_INC_CNT_WK2,"decimal(38,10)",Credit transfer incoming count and amount
CREDIT_TRANSFER_INC_CNT_WK3,"decimal(38,10)",Credit transfer incoming count and amount
CREDIT_TRANSFER_INC_CNT_WK4,"decimal(38,10)",Credit transfer incoming count and amount
CREDIT_TRANSFER_OUT_AMNT_M1,"decimal(38,6)",Credit transfer outgoing count and amount
CREDIT_TRANSFER_OUT_AMNT_WK1,"decimal(38,10)",Credit transfer outgoing count and amount
CREDIT_TRANSFER_OUT_AMNT_WK2,"decimal(38,10)",Credit transfer outgoing count and amount
CREDIT_TRANSFER_OUT_AMNT_WK3,"decimal(38,10)",Credit transfer outgoing count and amount
CREDIT_TRANSFER_OUT_AMNT_WK4,"decimal(38,10)",Credit transfer outgoing count and amount
CREDIT_TRANSFER_OUT_CNT_M1,bigint,Credit transfer outgoing count and amount
CREDIT_TRANSFER_OUT_CNT_WK1,"decimal(38,10)",Credit transfer outgoing count and amount
CREDIT_TRANSFER_OUT_CNT_WK2,"decimal(38,10)",Credit transfer outgoing count and amount
CREDIT_TRANSFER_OUT_CNT_WK3,"decimal(38,10)",Credit transfer outgoing count and amount
CREDIT_TRANSFER_OUT_CNT_WK4,"decimal(38,10)",Credit transfer outgoing count and amount
CSD_MON_IDD_ALLOWANCE_MINS,"decimal(38,4)",Ceased monthly IDD allowances minutes
CSD_MON_IDD_MINS_DT,timestamp,Ceased monthly IDD allowances end date
CSD_MON_IDD_MINS_MRC,"decimal(38,6)",Ceased monthly IDD allowances charge
CSD_MON_LOCAL_DATA_ALLOWANCE_MB,"decimal(38,4)",Ceased monthly local allowances data
CSD_MON_LOCAL_DATA_DT,timestamp,Ceased monthly local allowances data end date
CSD_MON_LOCAL_DATA_MRC,"decimal(38,6)",Ceased monthly local allowances data charge
CSD_MON_NAT_MINS_DT,timestamp,Ceased monthly national allowances end date
CSD_MON_NAT_MINS_MRC,"decimal(38,6)",Ceased monthly national allowances charge
CSD_MON_NATIONAL_ALLOWANCE_MINS,"decimal(38,4)",Ceased monthly national allowances minutes
CST_BAD_DEBT_AMT,"decimal(20,8)",Customer bad debt amount
CST_CAT_FLG,string,Customer bad debt amount
CST_CNGLMRT_INDSTRY_FLG,string,Coglomerate information for the customer
CST_CORP_SEG,string,"Represents the sub-segment of corporate (ES) customers according to the CRM system (e.g. Finance & Banks, Media, Global Services)"
CST_ID,bigint,Represents the Id of the party (customer) tagged in CBCM system. There can be multiple accounts under a party (customer). A customer is a party type that subscribes to or was subscribed to any service offered by Etisalat or its business units.
CST_INDSTRY_VTCL,string,"Represents the customer industry classification area (e.g. Agricultural Services, Crude Petroleum & Natural Gas, Metal Mining, Construction)"
CST_PFT_ARPU_BAND,string,"Service revenue excluding fixed line revenue, fixed advertising revenue, revenue related to business managed services and revenue from certain tower sharing arrangements divided by average customers."
CST_PFT_ARPU_SEG,string,"Service revenue excluding fixed line revenue, fixed advertising revenue, revenue related to business managed services and revenue from certain tower sharing arrangements divided by average customers."
CST_SEG_TP,string,"Represents the customer segmentation according to the CRM system (Consumer, SMB, Corporate)"
CST_SMB_SEG,string,"Represents the sub-segment for SMB customers according to the CRM system (e.g. Alternate Managed, Managed, Managed Indirect)"
CST_VAL_SEG,string,"Represents the customer value segmentation according to the CRM system (e.g. Titanium, Platinum, White, Golden, Silver, Diamond)"
CST_VO_IDD_2ND_CNTRY,string,Customer top called country
CST_VO_IDD_2ND_CNTRY_CNT,int,Customer top called country call count
CST_VO_IDD_2ND_CNTRY_MOU,int,Customer top called country call usage
CST_VO_IDD_2ND_CNTRY_REV,"decimal(20,8)",Customer top called country call revenue
CST_VO_IDD_3RD_CNTRY,string,Customer top called country
CST_VO_IDD_3RD_CNTRY_CNT,int,Customer top called country call count
CST_VO_IDD_3RD_CNTRY_MOU,int,Customer top called country call usage
CST_VO_IDD_3RD_CNTRY_REV,"decimal(20,8)",Customer top called country call revenue
CST_VO_IDD_TOP_CNTRY,string,Customer top called country
CST_VO_IDD_TOP_CNTRY_CNT,int,Customer top called country call count
CST_VO_IDD_TOP_CNTRY_MOU,int,Customer top called country call usage
CST_VO_IDD_TOP_CNTRY_REV,"decimal(20,8)",Customer top called country call revenue
CST_VO_IDD_TOT_REV,"decimal(20,8)",Customer top called country call revenue
CURRENT_HANDSET_MAKE,string,"A field that indicates the handset make of the latest handset used in the 90 days preceeding the snapshot date (e.g. Samsung, Apple, etc..)"
CURRENT_HANDSET_MODEL,string,"A field that indicates the handset make of the latest handset used in the 90 days preceeding the snapshot date (e.g. Samsung, Apple, etc..)"
CURRENT_TAC,string,The Type Allocation Code (TAC) is the initial eight-digit portion of the 15-digit IMEI code used to uniquely identify wireless devices.
CUSTMER_BSN_SEG,string,"It is a new segment introduced by the business. 
Domain Values: 
- Managed SMB
- Unmanaged SMB
- ES -Private
- ES -Government"
DATA_2G_MB_M1,"decimal(20,8)",Data Volume Overall By Technology
DATA_2G_MB_M1_GS,"decimal(15,8)",Data Volume Overall By Technology
DATA_2G_MB_M1_WS,"decimal(15,8)",Data Volume Overall By Technology
DATA_3G_MB_M1,"decimal(20,8)",Data Volume Overall By Technology
DATA_3G_MB_M1_GS,"decimal(15,8)",Data Volume Overall By Technology
DATA_3G_MB_M1_WS,"decimal(15,8)",Data Volume Overall By Technology
DATA_5G_MB_M1,"decimal(20,8)",Data Volume Overall By Technology
DATA_5G_MB_M1_GS,"decimal(15,8)",Data Volume Overall By Technology
DATA_5G_MB_M1_WS,"decimal(15,8)",Data Volume Overall By Technology
DATA_ADSL_VOL_M1,bigint,Indicates Total Volume of Total Megabytes Volume events within a given month.
DATA_ALWNC_POST,"decimal(15,8)",Indicates maximum allowed data under current subscritption
DATA_FEMTO_MB_M1,"decimal(20,8)",Data Volume Overall By Technology
DATA_FEMTO_MB_M1_GS,"decimal(15,8)",Data Volume Overall By Technology
DATA_FEMTO_MB_M1_WS,"decimal(15,8)",Data Volume Overall By Technology
